country,year,sex,age_group,population,population_density,median_age,fertility_rate,life_expectancy,net_migration,urban_population_percent,dependency_ratio,birth_rate,death_rate,population_growth_rate
Austria,2015,Male,0-14,1742743,311.37,36.9,1.34,75.5,-5869,64.3,58.0,7.28,12.33,2.25
Austria,2015,Male,15-29,3394769,115.46,37.2,1.47,79.7,43016,68.7,57.2,7.7,9.75,-0.03
Austria,2015,Male,30-44,4310029,72.59,42.4,1.54,83.8,-38606,85.8,58.6,9.25,8.08,2.27
Austria,2015,Male,45-64,3435357,409.95,38.7,1.29,81.2,-26517,63.7,54.9,7.17,13.46,-0.46
Austria,2015,Male,65+,1823415,385.02,40.1,1.39,80.1,-40308,89.1,60.5,11.7,13.37,0.89
Austria,2015,Female,0-14,1634398,71.59,37.4,1.24,77.9,-26753,82.4,55.8,9.93,13.79,0.93
Austria,2015,Female,15-29,2663740,96.23,44.6,1.27,83.9,12592,66.0,45.1,11.08,12.24,1.42
Austria,2015,Female,30-44,2159818,64.8,39.3,1.3,82.8,-19465,73.5,46.9,8.85,12.01,1.16
Austria,2015,Female,45-64,3652279,159.12,41.7,1.54,83.7,-22734,82.8,56.2,10.85,10.96,0.59
Austria,2015,Female,65+,172409,236.49,37.4,2.01,79.3,4268,75.3,63.2,8.25,10.46,1.52
Austria,2015,Total,0-14,1263475,473.14,42.2,1.83,82.9,14044,68.9,47.1,9.28,9.31,0.17
Austria,2015,Total,15-29,2059021,283.49,44.7,2.01,77.9,-26224,68.2,58.0,7.0,10.12,-0.28
Austria,2015,Total,30-44,2598421,270.05,40.0,1.4,76.1,16199,88.3,51.5,9.59,12.22,-0.05
Austria,2015,Total,45-64,4684096,149.34,38.0,1.83,81.4,17172,68.5,45.7,10.05,11.02,-1.29
Austria,2015,Total,65+,319536,328.15,43.2,1.68,79.0,-23691,67.3,58.4,10.81,9.43,1.41
Austria,2016,Male,0-14,2608231,251.04,46.8,1.56,82.3,-27329,85.1,51.4,7.93,8.24,0.86
Austria,2016,Male,15-29,4185314,364.24,44.7,1.51,75.9,-41320,80.7,52.7,11.68,8.83,-0.14
Austria,2016,Male,30-44,875816,128.26,41.5,1.83,77.1,46601,89.5,55.3,8.3,13.98,2.36
Austria,2016,Male,45-64,167796,444.84,37.3,1.45,81.3,1407,86.9,62.7,10.9,11.85,-1.16
Austria,2016,Male,65+,841971,452.32,42.3,1.21,75.9,32018,89.2,50.7,8.53,10.91,0.29
Austria,2016,Female,0-14,1410828,135.41,43.5,1.41,77.9,-46013,71.0,59.9,10.6,9.85,0.67
Austria,2016,Female,15-29,4351754,202.83,38.2,1.42,83.8,-46564,74.6,63.1,9.17,10.1,1.08
Austria,2016,Female,30-44,4153022,261.48,37.3,1.85,77.5,23744,89.8,54.4,8.4,13.3,1.49
Austria,2016,Female,45-64,2559079,185.45,41.6,1.72,83.8,15726,69.2,48.8,8.34,10.91,-0.01
Austria,2016,Female,65+,738105,469.99,43.4,1.71,75.9,22991,80.1,52.2,8.27,9.77,-0.21
Austria,2016,Total,0-14,4403127,357.6,43.4,1.52,77.6,-30810,72.6,50.1,10.06,8.49,-1.48
Austria,2016,Total,15-29,4092787,405.2,42.8,1.83,82.2,41083,86.6,45.6,9.89,10.63,1.19
Austria,2016,Total,30-44,168834,248.83,41.5,1.46,80.3,6661,67.5,45.8,8.52,11.22,-0.19
Austria,2016,Total,45-64,2035588,157.63,46.6,1.61,82.6,8335,75.9,55.8,10.19,12.36,2.4
Austria,2016,Total,65+,2950603,365.86,35.5,1.56,78.9,-24055,60.8,64.3,11.18,12.18,0.14
Austria,2017,Male,0-14,4994505,103.53,38.0,1.69,81.4,-4457,88.0,57.8,9.58,11.94,0.24
Austria,2017,Male,15-29,3662610,146.43,39.3,1.88,75.1,11389,62.8,46.9,8.56,13.88,-0.8
Austria,2017,Male,30-44,814121,388.78,44.7,1.51,79.2,-23354,61.4,64.0,11.43,9.57,-1.44
Austria,2017,Male,45-64,4516271,432.55,42.9,1.35,75.6,-19023,60.8,56.7,11.7,11.45,0.05
Austria,2017,Male,65+,3099851,90.4,44.7,1.94,80.6,47856,88.8,63.1,7.98,8.42,-1.1
Austria,2017,Female,0-14,2814673,48.31,42.4,1.5,80.9,38668,85.3,45.5,11.07,9.69,-1.03
Austria,2017,Female,15-29,2972097,325.6,45.5,1.86,82.2,42920,76.4,53.5,9.84,11.46,1.43
Austria,2017,Female,30-44,3213683,204.85,44.3,1.51,83.4,11476,67.2,58.6,10.7,9.43,0.01
Austria,2017,Female,45-64,4879040,267.47,44.9,1.49,83.1,-2720,61.6,64.2,11.24,10.13,2.33
Austria,2017,Female,65+,4296238,476.79,41.9,1.77,79.0,39112,76.6,49.3,11.73,12.69,-1.05
Austria,2017,Total,0-14,1251193,487.9,47.0,1.25,81.6,24460,70.5,47.3,7.71,12.57,0.97
Austria,2017,Total,15-29,2584629,69.53,43.4,1.27,82.4,-30935,64.4,55.3,8.17,11.49,1.95
Austria,2017,Total,30-44,1336643,141.24,45.9,1.73,78.2,39339,62.5,60.5,9.79,10.55,2.13
Austria,2017,Total,45-64,3735501,261.53,35.1,1.62,75.5,5771,83.0,61.5,10.72,12.09,-0.55
Austria,2017,Total,65+,4999499,164.28,45.4,1.4,83.7,-13605,89.3,56.1,8.61,8.26,2.2
Austria,2018,Male,0-14,4976203,64.68,41.6,2.07,79.7,-32360,66.5,50.9,11.98,12.18,0.04
Austria,2018,Male,15-29,3368230,51.36,38.4,2.06,83.0,-26041,78.6,50.5,7.94,10.78,-0.09
Austria,2018,Male,30-44,1394027,66.54,46.7,2.09,81.3,-11912,69.3,61.3,10.42,8.98,2.14
Austria,2018,Male,45-64,1216588,472.05,40.0,1.72,83.3,15545,88.0,62.3,7.23,8.16,0.01
Austria,2018,Male,65+,77712,255.77,46.8,1.54,81.7,12680,89.1,61.8,11.19,10.81,0.16
Austria,2018,Female,0-14,50404,56.5,45.4,1.93,84.0,30642,76.7,60.4,11.72,13.1,-0.51
Austria,2018,Female,15-29,1137341,148.18,38.3,1.39,82.9,-4457,78.5,52.2,7.57,12.03,0.58
Austria,2018,Female,30-44,3632069,420.74,38.7,1.93,83.7,-25715,83.8,56.8,9.4,10.52,1.64
Austria,2018,Female,45-64,3011293,360.92,37.6,1.32,75.1,-43051,78.2,57.7,9.77,8.55,1.41
Austria,2018,Female,65+,2503752,271.58,44.4,1.56,80.6,-6912,88.5,47.9,11.63,10.95,-0.47
Austria,2018,Total,0-14,700199,51.55,42.4,1.51,76.9,-37985,70.2,55.7,9.3,11.51,0.1
Austria,2018,Total,15-29,1776351,331.21,37.2,1.51,83.1,-16566,80.0,48.4,7.96,8.25,-0.82
Austria,2018,Total,30-44,2432357,71.69,36.4,1.61,76.9,1745,63.9,51.6,8.61,8.55,0.42
Austria,2018,Total,45-64,1272869,68.43,45.5,2.03,75.5,45257,86.0,46.7,9.99,13.92,0.65
Austria,2018,Total,65+,967559,257.73,42.4,1.53,79.2,-33252,61.9,48.0,7.67,12.12,1.88
Austria,2019,Male,0-14,3758654,44.32,45.4,1.52,78.6,-3729,68.1,52.5,7.1,9.93,-0.65
Austria,2019,Male,15-29,820173,86.29,45.7,1.73,81.1,23794,79.5,54.6,9.92,12.42,0.73
Austria,2019,Male,30-44,2618103,232.88,36.5,1.46,78.3,4553,78.2,49.9,9.49,9.98,2.23
Austria,2019,Male,45-64,994789,135.91,39.4,1.64,82.7,26125,65.2,62.9,7.4,11.15,0.14
Austria,2019,Male,65+,3102766,451.41,41.9,2.03,75.0,-49883,67.7,48.4,10.34,13.58,0.73
Austria,2019,Female,0-14,294761,161.59,44.2,1.37,77.9,41922,66.0,59.7,9.65,12.24,1.57
Austria,2019,Female,15-29,1100493,102.55,40.8,1.68,75.5,9383,64.0,46.3,11.95,9.93,1.74
Austria,2019,Female,30-44,3204240,95.25,35.0,1.31,79.3,47829,72.4,52.0,11.65,12.98,2.36
Austria,2019,Female,45-64,1762503,495.74,37.5,1.54,83.3,-13841,77.2,61.8,7.7,12.77,-0.69
Austria,2019,Female,65+,3975282,107.2,44.8,1.8,79.7,-29389,69.5,56.8,10.41,10.71,1.36
Austria,2019,Total,0-14,4579788,171.65,44.0,1.65,77.1,-15984,71.7,55.6,7.33,9.37,0.67
Austria,2019,Total,15-29,1677781,186.42,43.8,1.82,76.5,21324,74.9,59.8,9.87,13.99,1.51
Austria,2019,Total,30-44,1949492,395.93,36.7,1.38,81.4,-6128,63.1,55.7,8.89,10.74,0.92
Austria,2019,Total,45-64,1489758,404.73,36.8,1.41,81.5,-29391,60.4,57.0,9.83,12.3,0.9
Austria,2019,Total,65+,2742755,115.35,45.9,1.73,78.6,-49186,68.6,57.3,11.56,8.83,-1.1
Austria,2020,Male,0-14,720688,38.51,45.5,2.04,80.1,14644,87.7,59.1,7.76,11.46,0.93
Austria,2020,Male,15-29,1349445,66.34,36.3,1.96,83.2,-15440,63.4,64.7,11.19,8.75,2.18
Austria,2020,Male,30-44,3295886,176.38,37.7,1.75,78.4,25060,70.1,61.1,7.02,10.0,0.09
Austria,2020,Male,45-64,1279336,435.85,46.1,1.62,79.3,-13632,77.6,45.7,11.56,9.49,0.81
Austria,2020,Male,65+,4158997,45.92,38.7,1.9,77.5,-30903,60.4,58.3,7.89,13.77,-0.91
Austria,2020,Female,0-14,2462149,434.5,41.4,1.37,77.7,-48241,62.0,60.0,8.05,13.39,-0.68
Austria,2020,Female,15-29,3369260,251.87,41.8,1.26,82.0,-1698,75.8,55.7,9.41,10.98,1.56
Austria,2020,Female,30-44,1284816,187.15,35.9,1.88,77.5,25629,75.8,61.0,11.89,13.04,1.97
Austria,2020,Female,45-64,4093064,134.33,37.8,1.8,75.2,6373,70.2,56.4,11.44,11.34,1.38
Austria,2020,Female,65+,2744946,144.29,43.7,1.97,82.5,4771,80.0,49.1,8.47,13.38,-1.45
Austria,2020,Total,0-14,3722214,428.62,36.5,1.99,80.8,-41295,87.3,57.5,8.68,12.95,-0.05
Austria,2020,Total,15-29,4452294,155.99,42.5,1.57,80.0,12516,68.8,64.0,10.82,8.84,1.97
Austria,2020,Total,30-44,4787655,493.12,40.7,1.36,79.4,-22144,68.1,55.8,10.17,9.55,-0.94
Austria,2020,Total,45-64,4112442,228.2,36.6,2.01,81.2,24532,60.6,63.3,7.59,11.46,-0.4
Austria,2020,Total,65+,4135412,336.17,45.0,1.39,75.1,11396,67.9,50.3,10.66,9.5,1.03
Austria,2021,Male,0-14,622212,112.42,46.0,1.58,78.4,-13603,61.4,48.3,10.69,8.5,0.91
Austria,2021,Male,15-29,2728932,423.43,40.2,2.02,81.5,46999,77.0,54.5,10.32,13.62,1.43
Austria,2021,Male,30-44,465008,156.86,41.5,1.35,82.6,-37888,74.9,56.9,8.67,12.63,-1.07
Austria,2021,Male,45-64,3997208,195.22,40.0,1.83,80.4,-36650,62.3,46.6,7.01,13.81,-1.48
Austria,2021,Male,65+,666036,73.04,46.0,1.32,83.6,44006,75.6,46.7,11.79,12.55,1.06
Austria,2021,Female,0-14,2542118,370.33,42.6,2.08,83.1,27454,80.8,46.0,10.35,8.26,0.85
Austria,2021,Female,15-29,3863270,291.23,40.7,1.48,76.1,-25930,68.9,63.5,11.86,13.67,0.4
Austria,2021,Female,30-44,3118893,55.79,40.5,1.67,80.8,39613,77.9,49.6,7.6,8.46,1.29
Austria,2021,Female,45-64,184055,237.29,39.9,1.72,82.2,-5453,83.7,51.4,10.13,13.32,0.96
Austria,2021,Female,65+,2358989,226.23,40.5,2.09,75.0,25532,75.9,63.8,10.99,13.99,-0.1
Austria,2021,Total,0-14,2853696,218.91,40.8,1.76,82.9,8606,71.9,46.8,8.68,11.14,1.43
Austria,2021,Total,15-29,4770642,249.64,38.6,1.97,81.4,-9400,68.3,63.2,7.23,8.66,0.07
Austria,2021,Total,30-44,3238729,405.05,38.1,1.73,83.8,6638,88.3,54.3,10.07,9.0,2.46
Austria,2021,Total,45-64,481413,315.64,41.2,1.41,76.6,32856,65.6,60.6,8.75,8.35,2.38
Austria,2021,Total,65+,4230656,273.58,42.2,1.67,77.3,34386,82.7,58.9,7.77,12.89,-0.6
Austria,2022,Male,0-14,4959384,450.61,45.3,1.61,78.5,-6358,63.9,62.8,11.78,13.17,1.74
Austria,2022,Male,15-29,4109175,467.85,43.8,1.45,77.3,19669,67.8,59.5,9.48,8.49,-0.62
Austria,2022,Male,30-44,4216769,262.72,40.8,1.73,82.4,-48409,79.9,55.9,11.32,12.4,0.59
Austria,2022,Male,45-64,4230303,339.47,45.2,1.98,81.4,-16870,67.2,63.6,7.53,12.19,-0.74
Austria,2022,Male,65+,3390420,444.01,45.5,1.23,82.4,-47281,70.1,59.9,7.8,12.91,1.83
Austria,2022,Female,0-14,3811675,33.0,38.4,1.76,83.8,-15168,63.5,52.5,7.05,12.91,-0.99
Austria,2022,Female,15-29,650530,387.68,41.5,2.07,78.1,48875,65.4,60.1,10.94,9.04,1.58
Austria,2022,Female,30-44,188563,171.45,43.5,1.26,80.2,-29047,62.2,62.0,11.95,12.06,0.28
Austria,2022,Female,45-64,4728394,91.14,44.1,1.22,75.2,-42187,71.2,61.4,8.26,8.01,-0.86
Austria,2022,Female,65+,4477036,473.82,36.2,1.97,79.7,25932,69.0,61.8,10.86,9.38,-0.97
Austria,2022,Total,0-14,3772946,476.91,36.8,1.59,83.5,31871,85.7,64.3,10.8,10.65,-0.25
Austria,2022,Total,15-29,1897865,450.23,37.8,1.39,75.3,32711,71.1,62.3,9.37,13.81,-0.76
Austria,2022,Total,30-44,2492266,427.05,44.1,1.76,76.2,-44345,87.6,57.3,10.98,10.89,-1.03
Austria,2022,Total,45-64,847968,315.43,38.0,1.7,77.0,-44891,69.8,56.8,9.17,13.91,-0.9
Austria,2022,Total,65+,828513,349.81,39.7,2.08,81.5,-43846,80.8,62.2,10.9,8.24,0.42
Austria,2023,Male,0-14,1486536,298.33,35.2,1.63,76.9,-14512,76.8,45.2,8.63,11.11,-1.15
Austria,2023,Male,15-29,4420380,68.78,44.9,1.52,77.9,31061,77.0,58.8,11.0,9.2,-0.83
Austria,2023,Male,30-44,4569216,477.23,36.5,2.01,80.4,-23985,69.0,63.7,11.74,11.75,1.63
Austria,2023,Male,45-64,4043710,412.97,36.0,2.01,79.9,-22039,83.5,54.6,7.2,8.98,0.25
Austria,2023,Male,65+,982817,58.37,38.0,1.34,82.8,-23255,69.9,54.4,10.72,13.23,0.23
Austria,2023,Female,0-14,3026031,264.15,41.7,1.85,77.1,-47080,74.8,46.6,9.02,9.32,0.17
Austria,2023,Female,15-29,1996830,151.11,40.6,1.98,81.5,-49044,85.4,57.6,10.68,12.61,0.52
Austria,2023,Female,30-44,1474945,437.5,41.9,1.59,81.5,-27985,78.2,57.0,10.96,11.93,2.47
Austria,2023,Female,45-64,2847753,458.81,37.5,1.76,80.7,34878,67.1,60.5,9.03,11.61,1.03
Austria,2023,Female,65+,3021981,270.93,40.0,1.26,78.9,677,86.1,53.9,9.57,10.16,0.87
Austria,2023,Total,0-14,2010826,176.71,39.8,1.97,75.1,-36240,83.2,47.6,11.85,10.72,-0.56
Austria,2023,Total,15-29,2704837,109.79,41.2,1.5,82.5,-7760,73.5,56.8,11.74,9.52,-0.06
Austria,2023,Total,30-44,1992811,47.24,43.8,1.8,79.3,-40153,84.2,56.7,11.34,9.24,-1.05
Austria,2023,Total,45-64,987841,493.75,36.5,1.41,75.5,30896,63.7,54.0,11.67,9.9,0.53
Austria,2023,Total,65+,2443293,353.46,39.8,1.63,81.2,15661,88.6,57.8,11.34,10.73,0.56
Austria,2024,Male,0-14,2478081,191.05,41.4,1.31,76.2,28131,81.1,49.0,10.37,13.82,-1.12
Austria,2024,Male,15-29,3172951,103.4,37.8,2.07,77.3,-1680,85.1,63.9,10.42,10.98,0.97
Austria,2024,Male,30-44,1326647,391.2,36.4,1.92,83.3,-18110,88.2,61.5,10.33,11.46,-0.11
Austria,2024,Male,45-64,4707089,499.72,35.6,2.08,78.7,22460,83.5,56.3,10.69,13.27,0.12
Austria,2024,Male,65+,3749181,465.07,40.3,2.01,82.9,-24574,86.1,52.5,8.48,11.89,-0.19
Austria,2024,Female,0-14,2011977,216.2,43.3,1.55,79.0,-41073,71.2,49.5,7.37,11.62,1.17
Austria,2024,Female,15-29,1552025,386.89,41.0,1.69,83.6,42059,60.8,51.8,8.9,10.39,0.82
Austria,2024,Female,30-44,1765499,254.05,39.7,1.69,81.7,-23013,88.7,45.4,7.98,8.05,1.09
Austria,2024,Female,45-64,1751667,465.71,35.7,2.04,78.2,-3119,65.0,57.3,9.62,12.02,2.22
Austria,2024,Female,65+,4388843,283.41,38.7,1.75,81.4,-5024,89.3,61.5,9.61,8.74,1.94
Austria,2024,Total,0-14,4142966,276.83,43.5,1.3,80.1,-43559,87.5,53.5,7.44,12.89,-0.01
Austria,2024,Total,15-29,4811260,327.58,46.4,1.74,82.4,38789,77.8,60.9,10.23,9.05,-0.06
Austria,2024,Total,30-44,1825767,196.11,37.8,1.9,77.5,5826,85.5,58.4,11.05,12.6,-0.9
Austria,2024,Total,45-64,551174,305.71,37.0,1.86,82.8,-32986,76.1,48.6,8.56,9.38,-0.68
Austria,2024,Total,65+,4450072,213.73,42.1,1.65,83.9,-45642,80.9,53.1,9.14,12.31,1.27
Belgium,2015,Male,0-14,4437814,190.31,44.8,1.74,78.0,-18993,68.2,46.6,7.43,13.37,-0.73
Belgium,2015,Male,15-29,4799959,202.47,39.1,1.76,79.0,14315,62.0,61.0,8.17,11.24,2.02
Belgium,2015,Male,30-44,2140545,349.66,37.8,1.61,76.7,-44751,89.8,58.2,9.79,12.38,0.36
Belgium,2015,Male,45-64,1754597,294.28,46.5,1.36,81.2,-24408,65.1,53.2,9.11,12.93,-1.5
Belgium,2015,Male,65+,358623,342.51,44.5,2.03,77.1,5922,64.6,64.8,11.64,11.24,1.87
Belgium,2015,Female,0-14,4913059,323.09,36.1,1.88,76.1,26559,75.2,48.2,7.32,8.71,-0.59
Belgium,2015,Female,15-29,3320209,209.03,39.2,1.42,79.6,-11933,68.4,63.8,11.37,8.97,1.65
Belgium,2015,Female,30-44,1633246,496.31,45.2,1.39,83.4,-37671,76.2,57.6,10.37,11.19,1.39
Belgium,2015,Female,45-64,2854802,401.31,38.7,1.27,78.6,-43279,64.6,49.5,11.79,11.44,2.23
Belgium,2015,Female,65+,4107025,92.29,45.3,2.03,79.4,41245,86.9,61.6,8.59,13.72,1.8
Belgium,2015,Total,0-14,1300956,202.74,35.8,1.22,76.2,-3341,62.4,60.5,7.61,11.57,2.25
Belgium,2015,Total,15-29,4796771,236.57,36.3,1.78,76.9,36269,78.1,52.3,8.93,11.39,-0.73
Belgium,2015,Total,30-44,3562664,57.34,46.9,1.25,81.3,-24968,72.9,48.4,7.37,12.7,-0.44
Belgium,2015,Total,45-64,187478,355.32,35.7,1.66,84.0,-26688,67.0,49.4,7.87,11.93,1.89
Belgium,2015,Total,65+,4679988,446.7,40.4,1.38,78.3,-23285,74.4,48.5,8.94,13.78,-0.51
Belgium,2016,Male,0-14,4307341,256.23,35.2,1.43,81.8,-44458,78.6,51.5,11.17,11.78,-0.7
Belgium,2016,Male,15-29,752436,481.0,40.9,1.3,79.9,-45202,75.0,50.3,7.75,8.76,1.96
Belgium,2016,Male,30-44,4469323,336.3,44.7,1.75,82.7,5316,88.7,47.7,7.51,11.95,2.27
Belgium,2016,Male,45-64,1294289,235.67,38.1,1.96,75.3,1431,73.8,57.7,10.3,13.37,1.05
Belgium,2016,Male,65+,2851742,448.01,40.4,1.99,76.0,13936,73.3,46.0,7.19,12.48,1.14
Belgium,2016,Female,0-14,4105447,79.52,35.4,1.66,78.5,-39858,68.9,52.0,10.87,11.97,-0.76
Belgium,2016,Female,15-29,1257786,223.7,41.6,1.95,75.6,-2759,60.6,46.6,11.84,9.77,1.58
Belgium,2016,Female,30-44,4689681,343.65,35.1,1.43,77.3,-7400,79.3,55.6,7.21,13.81,1.69
Belgium,2016,Female,45-64,2950737,312.88,42.0,1.87,82.3,14379,64.7,45.9,7.55,11.59,-1.12
Belgium,2016,Female,65+,4314423,233.08,40.3,1.75,83.5,-47539,87.8,58.5,9.48,8.08,2.47
Belgium,2016,Total,0-14,2267181,434.84,45.2,2.03,77.3,-21956,66.6,64.6,10.74,11.35,-0.78
Belgium,2016,Total,15-29,4876847,113.39,41.5,2.09,83.4,43980,81.8,47.2,10.43,8.55,2.36
Belgium,2016,Total,30-44,534814,267.75,45.1,1.86,79.9,17260,82.3,57.2,7.53,8.91,-1.12
Belgium,2016,Total,45-64,4348859,329.06,44.1,1.34,79.2,15095,67.4,59.5,11.96,8.6,0.11
Belgium,2016,Total,65+,3961146,176.14,43.9,1.93,80.5,26865,70.7,60.7,9.77,8.03,1.54
